"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_280","01_19","ALL","KGZ","2013","0.93"
"HFAMDB_280","01_19","MALE","KGZ","2013","1.37"
"HFAMDB_280","01_19","FEMALE","KGZ","2013","0.47"
"HFAMDB_280","01_19","ALL","AUT","2012","0"
"HFAMDB_280","01_19","FEMALE","AUT","2012","0"
"HFAMDB_280","01_19","MALE","AUT","2012","0"
"HFAMDB_280","01_19","ALL","BEL","2000","0.18"
"HFAMDB_280","01_19","MALE","BEL","2011","0.41"
"HFAMDB_280","01_19","ALL","BEL","2011","0.29"
"HFAMDB_280","01_19","FEMALE","BEL","2011","0.17"
"HFAMDB_280","01_19","FEMALE","BEL","2000","0.17"
"HFAMDB_280","01_19","MALE","BEL","2000","0.2"
"HFAMDB_280","01_19","ALL","BIH","2011","0.09"
"HFAMDB_280","01_19","MALE","BIH","2011","0.17"
"HFAMDB_280","01_19","ALL","BLR","2011","0.16"
"HFAMDB_280","01_19","MALE","BLR","2011","0.09"
"HFAMDB_280","01_19","FEMALE","BLR","2011","0.23"
"HFAMDB_280","01_19","FEMALE","CYP","1999","0"
"HFAMDB_280","01_19","FEMALE","CYP","2011","0.85"
"HFAMDB_280","01_19","ALL","CYP","2011","0.42"
"HFAMDB_280","01_19","MALE","CYP","1999","0"
"HFAMDB_280","01_19","ALL","CYP","2012","0"
"HFAMDB_280","01_19","ALL","CYP","1999","0"
"HFAMDB_280","01_19","FEMALE","CYP","2012","0"
"HFAMDB_280","01_19","MALE","CYP","2012","0"
"HFAMDB_280","01_19","ALL","DNK","2012","0.09"
"HFAMDB_280","01_19","FEMALE","DNK","2012","0"
"HFAMDB_280","01_19","MALE","DNK","2012","0.18"
"HFAMDB_280","01_19","MALE","FIN","2012","0.32"
"HFAMDB_280","01_19","ALL","FIN","2012","0.17"
"HFAMDB_280","01_19","FEMALE","FIN","2012","0"
"HFAMDB_280","01_19","FEMALE","FRA","2011","0.07"
"HFAMDB_280","01_19","MALE","FRA","2011","0.08"
"HFAMDB_280","01_19","ALL","FRA","2011","0.07"
"HFAMDB_280","01_19","MALE","GEO","2012","1.14"
"HFAMDB_280","01_19","FEMALE","GEO","2011","1.13"
"HFAMDB_280","01_19","MALE","GEO","2011","0.21"
"HFAMDB_280","01_19","ALL","GEO","2011","0.64"
"HFAMDB_280","01_19","FEMALE","GEO","2012","2.53"
"HFAMDB_280","01_19","ALL","GEO","2012","1.79"
"HFAMDB_280","01_19","FEMALE","GRC","2012","0.11"
"HFAMDB_280","01_19","MALE","GRC","2012","0.55"
"HFAMDB_280","01_19","ALL","GRC","2012","0.33"
"HFAMDB_280","01_19","FEMALE","ISR","2012","0.09"
