"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_710","TOTAL","FEMALE","BLR","2011","0.04"
"HFAMDB_710","TOTAL","MALE","BLR","2011","0.13"
"HFAMDB_710","TOTAL","ALL","BLR","2011","0.09"
"HFAMDB_710","TOTAL","FEMALE","GRC","2012","15.76"
"HFAMDB_710","TOTAL","ALL","GRC","2012","17.83"
"HFAMDB_710","TOTAL","MALE","GRC","2012","20.57"
"HFAMDB_710","TOTAL","MALE","KAZ","2012","0.48"
"HFAMDB_710","TOTAL","FEMALE","KAZ","2012","0.34"
"HFAMDB_710","TOTAL","ALL","KAZ","2012","0.4"
"HFAMDB_710","TOTAL","FEMALE","PRT","1989","0.21"
"HFAMDB_710","TOTAL","FEMALE","PRT","1985","0.43"
"HFAMDB_710","TOTAL","FEMALE","PRT","1991","0.19"
"HFAMDB_710","TOTAL","FEMALE","PRT","1994","0.16"
"HFAMDB_710","TOTAL","FEMALE","PRT","1988","0.31"
"HFAMDB_710","TOTAL","ALL","PRT","1989","0.32"
"HFAMDB_710","TOTAL","MALE","PRT","2001","0.28"
"HFAMDB_710","TOTAL","MALE","PRT","2000","0.39"
"HFAMDB_710","TOTAL","MALE","PRT","1996","0.1"
"HFAMDB_710","TOTAL","FEMALE","PRT","1998","0.25"
"HFAMDB_710","TOTAL","ALL","PRT","1990","0.25"
"HFAMDB_710","TOTAL","MALE","PRT","1997","0.32"
"HFAMDB_710","TOTAL","ALL","PRT","1992","0.31"
"HFAMDB_710","TOTAL","ALL","PRT","1993","0.18"
"HFAMDB_710","TOTAL","MALE","PRT","1986","0.99"
"HFAMDB_710","TOTAL","MALE","PRT","1993","0.31"
"HFAMDB_710","TOTAL","MALE","PRT","1999","0.32"
"HFAMDB_710","TOTAL","MALE","PRT","1992","0.45"
"HFAMDB_710","TOTAL","FEMALE","PRT","1999","0.07"
"HFAMDB_710","TOTAL","FEMALE","PRT","1997","0.2"
"HFAMDB_710","TOTAL","ALL","PRT","1998","0.26"
"HFAMDB_710","TOTAL","ALL","PRT","1999","0.17"
"HFAMDB_710","TOTAL","ALL","PRT","2001","0.25"
"HFAMDB_710","TOTAL","ALL","PRT","1994","0.14"
"HFAMDB_710","TOTAL","ALL","PRT","1995","0.15"
"HFAMDB_710","TOTAL","MALE","PRT","1995","0.13"
"HFAMDB_710","TOTAL","FEMALE","PRT","1995","0.14"
"HFAMDB_710","TOTAL","MALE","PRT","1990","0.3"
"HFAMDB_710","TOTAL","FEMALE","PRT","1987","0.23"
"HFAMDB_710","TOTAL","FEMALE","PRT","1996","0.07"
"HFAMDB_710","TOTAL","MALE","PRT","1994","0.11"
"HFAMDB_710","TOTAL","ALL","PRT","1985","0.61"
"HFAMDB_710","TOTAL","FEMALE","PRT","1990","0.19"
"HFAMDB_710","TOTAL","MALE","PRT","1985","0.93"
"HFAMDB_710","TOTAL","FEMALE","PRT","2000","0.28"
"HFAMDB_710","TOTAL","FEMALE","PRT","1992","0.22"
"HFAMDB_710","TOTAL","ALL","PRT","1997","0.25"
"HFAMDB_710","TOTAL","ALL","PRT","2000","0.32"
"HFAMDB_710","TOTAL","ALL","PRT","1988","0.29"
"HFAMDB_710","TOTAL","ALL","PRT","1987","0.38"
