"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_178","01_04","FEMALE","AUT","2012","1.94"
"HFAMDB_178","01_04","MALE","AUT","2012","3.68"
"HFAMDB_178","01_04","ALL","AUT","2012","2.84"
"HFAMDB_178","01_04","MALE","BEL","2011","3.41"
"HFAMDB_178","01_04","FEMALE","BEL","2000","1.76"
"HFAMDB_178","01_04","ALL","BEL","2000","3.24"
"HFAMDB_178","01_04","ALL","BEL","2011","2.72"
"HFAMDB_178","01_04","MALE","BEL","2000","4.65"
"HFAMDB_178","01_04","FEMALE","BEL","2011","1.99"
"HFAMDB_178","01_04","FEMALE","BIH","2011","9.27"
"HFAMDB_178","01_04","MALE","BIH","2011","4.38"
"HFAMDB_178","01_04","ALL","BIH","2011","6.76"
"HFAMDB_178","01_04","MALE","BLR","2011","7.44"
"HFAMDB_178","01_04","FEMALE","BLR","2011","2.47"
"HFAMDB_178","01_04","ALL","BLR","2011","5.03"
"HFAMDB_178","01_04","MALE","CYP","1999","0"
"HFAMDB_178","01_04","FEMALE","CYP","1999","0"
"HFAMDB_178","01_04","ALL","CYP","2011","5.19"
"HFAMDB_178","01_04","MALE","CYP","2012","9.92"
"HFAMDB_178","01_04","ALL","CYP","1999","0"
"HFAMDB_178","01_04","FEMALE","CYP","2011","10.66"
"HFAMDB_178","01_04","ALL","CYP","2012","5.06"
"HFAMDB_178","01_04","FEMALE","CYP","2012","0"
"HFAMDB_178","01_04","MALE","DNK","2012","3.02"
"HFAMDB_178","01_04","ALL","DNK","2012","3.49"
"HFAMDB_178","01_04","FEMALE","DNK","2012","3.98"
"HFAMDB_178","01_04","MALE","FIN","2012","3.21"
"HFAMDB_178","01_04","ALL","FIN","2012","2.05"
"HFAMDB_178","01_04","FEMALE","FIN","2012","0.84"
"HFAMDB_178","01_04","MALE","FRA","2011","1.76"
"HFAMDB_178","01_04","FEMALE","FRA","2011","2.11"
"HFAMDB_178","01_04","ALL","FRA","2011","1.93"
"HFAMDB_178","01_04","ALL","GEO","2012","1.72"
"HFAMDB_178","01_04","FEMALE","GEO","2011","3.85"
"HFAMDB_178","01_04","MALE","GEO","2011","1.71"
"HFAMDB_178","01_04","ALL","GEO","2011","2.71"
"HFAMDB_178","01_04","FEMALE","GEO","2012","1.82"
"HFAMDB_178","01_04","MALE","GEO","2012","1.63"
"HFAMDB_178","01_04","ALL","GRC","2012","6.66"
"HFAMDB_178","01_04","FEMALE","GRC","2012","6.36"
"HFAMDB_178","01_04","MALE","GRC","2012","6.95"
"HFAMDB_178","01_04","MALE","ISR","2012","4.22"
"HFAMDB_178","01_04","ALL","ISR","2012","3.09"
"HFAMDB_178","01_04","FEMALE","ISR","2012","1.9"
"HFAMDB_178","01_04","FEMALE","ITA","2011","1.75"
"HFAMDB_178","01_04","ALL","ITA","2011","1.93"
"HFAMDB_178","01_04","MALE","ITA","2011","2.1"
"HFAMDB_178","01_04","FEMALE","KAZ","2012","12.09"
"HFAMDB_178","01_04","ALL","KAZ","2012","11.39"
"HFAMDB_178","01_04","MALE","KAZ","2012","10.74"
"HFAMDB_178","01_04","FEMALE","KGZ","2012","8.56"
"HFAMDB_178","01_04","ALL","KGZ","2011","9.02"
"HFAMDB_178","01_04","FEMALE","KGZ","2011","8.6"
"HFAMDB_178","01_04","MALE","KGZ","2011","9.42"
"HFAMDB_178","01_04","MALE","KGZ","2012","10.05"
"HFAMDB_178","01_04","ALL","KGZ","2012","9.32"
"HFAMDB_178","01_04","MALE","LTU","2012","0"
"HFAMDB_178","01_04","FEMALE","LTU","2006","10.69"
"HFAMDB_178","01_04","MALE","LTU","2004","4.68"
"HFAMDB_178","01_04","MALE","LTU","2011","6.62"
"HFAMDB_178","01_04","MALE","LTU","2008","3.43"
"HFAMDB_178","01_04","MALE","LTU","2001","17.45"
"HFAMDB_178","01_04","FEMALE","LTU","2004","9.92"
"HFAMDB_178","01_04","FEMALE","LTU","2001","12.85"
"HFAMDB_178","01_04","MALE","LTU","2007","5.14"
"HFAMDB_178","01_04","MALE","LTU","2009","3.41"
"HFAMDB_178","01_04","FEMALE","LTU","2011","6.95"
"HFAMDB_178","01_04","ALL","LTU","2007","6.13"
"HFAMDB_178","01_04","ALL","LTU","2001","15.23"
"HFAMDB_178","01_04","ALL","LTU","2003","9.12"
"HFAMDB_178","01_04","ALL","LTU","2005","6.74"
"HFAMDB_178","01_04","ALL","LTU","2004","7.22"
"HFAMDB_178","01_04","ALL","LTU","2012","2.51"
"HFAMDB_178","01_04","MALE","LTU","2002","8.4"
"HFAMDB_178","01_04","FEMALE","LTU","2010","3.52"
"HFAMDB_178","01_04","ALL","LTU","2011","6.78"
"HFAMDB_178","01_04","ALL","LTU","2008","5.26"
"HFAMDB_178","01_04","ALL","LTU","2010","3.44"
"HFAMDB_178","01_04","MALE","LTU","2005","6.56"
"HFAMDB_178","01_04","MALE","LTU","2006","5.08"
"HFAMDB_178","01_04","ALL","LTU","2006","7.82"
"HFAMDB_178","01_04","FEMALE","LTU","2009","3.56"
"HFAMDB_178","01_04","ALL","LTU","2009","3.48"
"HFAMDB_178","01_04","FEMALE","LTU","2012","5.15"
"HFAMDB_178","01_04","FEMALE","LTU","2002","8.95"
"HFAMDB_178","01_04","ALL","LTU","2002","8.66"
"HFAMDB_178","01_04","MALE","LTU","2003","8.86"
"HFAMDB_178","01_04","FEMALE","LTU","2007","7.18"
"HFAMDB_178","01_04","FEMALE","LTU","2003","9.39"
"HFAMDB_178","01_04","MALE","LTU","2010","3.36"
"HFAMDB_178","01_04","FEMALE","LTU","2005","6.93"
