"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_116","0_64","ALL","ALB","","","","","","","","","","","","","","","","","","","","0.4","0.24","0.5","","","0.26","0.76","0.63","0.45","0.24","0.24","0.24","0.21","0.38","0.74","0.53","0.44","0.64","0.06","0.48","0.3","0.04","0","","","","","","",""
"HFAMDB_116","0_64","ALL","ARM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","","0.11","0.42","","","0.47","0.42","0.41","0.35","0.33"
"HFAMDB_116","0_64","ALL","AUT","","","","","","","","","","","","","1.49","1.15","1.38","1.63","1.3","1.37","1.44","1.52","1.64","1.43","1.4","0.92","1.22","1.68","1.1","1.26","1.01","0.99","1.28","0.17","0.11","0.17","0.18","0.26","0.27","0.19","0.34","0.31","0.16","0.16","0.28","0.29","0.17","0.19","0.29","0.2","0.3"
"HFAMDB_116","0_64","ALL","AZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","0.04","","","","","","","","",""
"HFAMDB_116","0_64","ALL","BLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","0.1","","","","0.16","0.15","0.16","0.11","0.18","","0.16","0.18","",""
"HFAMDB_116","0_64","ALL","BEL","","","","","","","","","","","","1.29","1.25","1.58","1.26","1.42","1.58","1.68","1.8","1.76","1.92","2.19","1.84","2.03","2.22","0.15","0.11","0.12","0.14","0.17","0.44","0.48","0.57","0.5","0.5","0.64","0.47","0.51","0.53","0.52","0.61","0.52","0.45","0.49","0.55","0.5","0.37","0.46",""
"HFAMDB_116","0_64","ALL","BIH","","","","","","","","","","","","","","","","","","0.7","1.26","1.19","0.74","0.81","0.76","1.39","","","","","","","","","","","","","","","","","","","","0.18","","","0.21","",""
"HFAMDB_116","0_64","ALL","BGR","","","","","","","","","","","","","0.3","0.29","0.35","0.35","0.22","0.24","0.28","0.4","0.29","0.31","0.51","0.24","0.31","0.42","0.5","0.42","0.37","0.7","0.4","0.35","0.25","0.6","0.14","0.36","0.23","0.2","0.14","0.15","0.2","0.22","0.29","0.18","0.2","0.14","0.23","",""
"HFAMDB_116","0_64","ALL","HRV","","","","","","","","","","","","","","","","","","1.32","1.04","0.98","1.42","0.88","0.81","0.94","1.19","1.21","1.25","0.39","0.13","0.16","0.33","0.27","0.22","0.4","0.42","0.45","0.19","0.22","0.2","0.35","0.43","0.43","0.38","0.23","0.34","0.18","0.23","0.45","0.27"
"HFAMDB_116","0_64","ALL","CYP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.2","","","","0","0.47","0.48","0.3","0.72","0.4","0.38","0.64","0.37","0.25","0.25","0.54","0.4"
