"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_840","40_44","ALL","FIN","289500","290600","292000","291700","289000","283900","276800","269000","263500","255800","253000","259400","264900","270600","280700","287600","288800","290900","292500","293800","294400","293800","291700","286700","279900","275000","271600","271400","276800","285000","287200","294600","300400","298000","300600","316000","337700","365700","399500","424900","438700","437500","430500","422100","413200","406700","403700","400200","394133","388781","384376","380178","377350","378160","379589","378625","376893","374802","370863","363439.5","354219","344422","333315","321655","315259.5","",""
"HFAMDB_840","40_44","ALL","FRA","3082200","3046400","3026600","3012000","2987100","2861500","2619700","2353600","2105800","1910600","1978300","2311100","2675300","2996700","3249200","3345400","3321100","3314100","3317900","3333500","3363400","3365500","3374300","3343800","3324800","3267600","3211200","3143800","3102800","3055000","2993800","2902300","2882200","2906400","2936800","3020300","3167000","3609400","3863200","4111200","4357400","4371500","4360400","4318000","4289800","4252500","4255400","4248200","4249000","4233457","4243852","4256951","4278091","4310161.5","4355173.5","4379410","4408122","4416268","4408093.5","4378100","4358194","4366096","4397643","4431740.5","4431935","",""
"HFAMDB_840","40_44","ALL","GEO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","390200","369000","309300","288449","248200","225000","223000","243300","274700","283850","295750","305900","287100","282600","301900","305200","310300","317900","326000","333900","336600","337100","338100","336650","334650","326750","313250","302200","296400","296800","299000","302100","303100","250900","243400",""
"HFAMDB_840","40_44","ALL","DEU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4888200","5186300","5420100","5579500","5669400","5730600","5804500","5897300","5996900","6133200","6304197","6495133","6684230","6875904","7045628","7153076","7199985","7193963","7115858","6956594","6744549","6494051","6199607","5675748","5341928","5087186",""
"HFAMDB_840","40_44","ALL","GRC","487500","495700","502600","506300","505200","502500","497700","492200","487600","484300","482700","452200","456700","466600","485200","500500","526700","566400","602600","628700","656900","662600","657500","658100","655600","656000","659700","659700","657800","655600","652100","630600","6e+05","575300","563000","569200","592400","612200","628900","648100","661700","674299","686605","697875","708707","719150","730326","742194","753423","763880","774448","781689","787024","792088","796283","797489","807125","830515","854568","873262","887053","890858","852573","836304","824134","814662",""
"HFAMDB_840","40_44","ALL","HUN","701000","716200","727600","735900","738300","715700","675400","577700","501700","458600","475700","537700","615400","694200","738800","747700","749800","743800","737000","736400","734800","728000","722300","716800","707500","694300","680600","669800","661300","656400","655900","663100","673300","683900","697500","702800","697700","701700","715600","728900","732923","762654","779310","791532","816853","840996","852791","851334","829463","774367","722430","692456","657989","634531","619705","609314","605558","617118","640131","663907.5","686433","705325","720313","723464.5","738023.5","771027","804543.5"
"HFAMDB_840","40_44","ALL","ISL","8200","8400","8500","8700","8900","9000","9100","9200","9400","9400","9600","9900","10200","10400","10600","10700","10800","10900","11100","11100","11400","11600","11700","11600","11600","11400","11100","10800","10800","10700","10600","10700","10900","11500","12200","13000","13700","14500","15100","15800","16400","17000","17400","17900","18400","18700","19000","19572","19967","20432","20909","21239","21274","21400","21776","21823","22480","23049","22967","21933","21053.5","20450","20370","20786","21130","21471.5","22010"
"HFAMDB_840","40_44","ALL","IRL","177900","180300","181500","183000","184100","184500","184700","182000","178000","175700","173000","170300","168900","167900","166600","165200","163400","161100","158600","156000","154200","152700","151800","151000","150900","150300","157600","158100","158500","159400","162400","165900","171400","177000","182800","187500","191800","203000","210900","219800","226000","225700","228200","231300","234000","237700","240500","247362","251303","255729","260521","267587","271984","278071","283667","290670","301329","305840","310154","312513","312513","329334","335659","342791","","",""
"HFAMDB_840","40_44","ALL","ISR","","","","","","","","","","","","","","","","","","","","","135800","136000","138300","142300","144300","167000","169100","171400","172000","173600","174400","171900","169500","172700","178000","186700","202700","225600","247600","264700","286300","316300","330900","340000","350400","358500","361400","362900","364900","369200","375111","379691","382528.5","384150.5","385575.5","386971","389630","393912","400263","423713","435908","451805","469035.9956","486587.9039","502654.8222","518439.3398",""
"HFAMDB_840","40_44","ALL","ITA","3357000","3316400","3432800","3494400","3523300","3513100","3410400","3172900","2856000","2593500","2536700","2687700","2958200","3297000","3596800","3714200","3703300","3698800","3695600","3687500","3700600","3722300","3717900","3712000","3696000","3666600","3638700","3649700","3683900","3747100","3824800","3848200","3765300","3705800","3607700","3482700","3476400","3602800","3738100","3867100","3991500","3983800","3949283","3865637","3772367","3753947","3747911","3784972","3830662","3879601","3933511","4002850","4160124.5","4306921","4435666","4580102","4768129","4869904","4941774","4963096","4949158","4800067","4783011","4824441","4848393","4806160",""
