"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_137","0_14","MALE","BEL","2002","0.12"
"HFAMDB_137","0_14","MALE","KGZ","2013","0"
"HFAMDB_137","0_14","ALL","KGZ","2013","0.17"
"HFAMDB_137","0_14","FEMALE","KGZ","2013","0.35"
"HFAMDB_137","0_14","ALL","AUT","2012","0.19"
"HFAMDB_137","0_14","MALE","AUT","2012","0"
"HFAMDB_137","0_14","FEMALE","AUT","2012","0.39"
"HFAMDB_137","0_14","ALL","BEL","2011","0.05"
"HFAMDB_137","0_14","FEMALE","BEL","2000","0.11"
"HFAMDB_137","0_14","MALE","BEL","2011","0"
"HFAMDB_137","0_14","FEMALE","BEL","2011","0.11"
"HFAMDB_137","0_14","MALE","BEL","2000","0"
"HFAMDB_137","0_14","ALL","BEL","2000","0.05"
"HFAMDB_137","0_14","MALE","BIH","2011","0.27"
"HFAMDB_137","0_14","ALL","BIH","2011","0.25"
"HFAMDB_137","0_14","FEMALE","BIH","2011","0.24"
"HFAMDB_137","0_14","MALE","BLR","2011","0.26"
"HFAMDB_137","0_14","FEMALE","BLR","2011","0"
"HFAMDB_137","0_14","ALL","BLR","2011","0.13"
"HFAMDB_137","0_14","FEMALE","CYP","2012","0"
"HFAMDB_137","0_14","MALE","CYP","1999","4.92"
"HFAMDB_137","0_14","ALL","CYP","2012","0"
"HFAMDB_137","0_14","MALE","CYP","2012","0"
"HFAMDB_137","0_14","ALL","CYP","1999","2.48"
"HFAMDB_137","0_14","FEMALE","CYP","1999","0"
"HFAMDB_137","0_14","MALE","DNK","2012","0"
"HFAMDB_137","0_14","ALL","DNK","2012","0"
"HFAMDB_137","0_14","FEMALE","DNK","2012","0"
"HFAMDB_137","0_14","MALE","FIN","2012","0"
"HFAMDB_137","0_14","FEMALE","FIN","2012","0"
"HFAMDB_137","0_14","ALL","FIN","2012","0"
"HFAMDB_137","0_14","ALL","FRA","2011","0.16"
"HFAMDB_137","0_14","MALE","FRA","2011","0.14"
"HFAMDB_137","0_14","FEMALE","FRA","2011","0.19"
"HFAMDB_137","0_14","FEMALE","GEO","2011","0"
"HFAMDB_137","0_14","ALL","GEO","2012","3"
"HFAMDB_137","0_14","MALE","GEO","2012","0"
"HFAMDB_137","0_14","MALE","GEO","2011","0.23"
"HFAMDB_137","0_14","FEMALE","GEO","2012","6.35"
"HFAMDB_137","0_14","ALL","GEO","2011","0.12"
"HFAMDB_137","0_14","FEMALE","GRC","2012","0"
"HFAMDB_137","0_14","MALE","GRC","2012","0.12"
"HFAMDB_137","0_14","ALL","GRC","2012","0.06"
"HFAMDB_137","0_14","MALE","ISR","2012","0.08"
"HFAMDB_137","0_14","ALL","ISR","2012","0.04"
"HFAMDB_137","0_14","FEMALE","ISR","2012","0"
"HFAMDB_137","0_14","FEMALE","ITA","2011","0.2"
"HFAMDB_137","0_14","MALE","ITA","2011","0.35"
"HFAMDB_137","0_14","ALL","ITA","2011","0.28"
"HFAMDB_137","0_14","ALL","KAZ","2012","1.64"
"HFAMDB_137","0_14","MALE","KAZ","2012","1.82"
"HFAMDB_137","0_14","FEMALE","KAZ","2012","1.46"
"HFAMDB_137","0_14","FEMALE","KGZ","2011","0.12"
"HFAMDB_137","0_14","MALE","KGZ","2011","0"
"HFAMDB_137","0_14","ALL","KGZ","2011","0.06"
"HFAMDB_137","0_14","ALL","KGZ","2012","0.34"
"HFAMDB_137","0_14","FEMALE","KGZ","2012","0.25"
"HFAMDB_137","0_14","MALE","KGZ","2012","0.43"
"HFAMDB_137","0_14","FEMALE","LTU","2011","0"
"HFAMDB_137","0_14","MALE","LTU","2002","0.24"
"HFAMDB_137","0_14","MALE","LTU","2001","0.9"
"HFAMDB_137","0_14","FEMALE","LTU","2012","0"
"HFAMDB_137","0_14","ALL","LTU","2010","0.18"
"HFAMDB_137","0_14","ALL","LTU","2003","0.16"
"HFAMDB_137","0_14","ALL","LTU","2001","0.46"
"HFAMDB_137","0_14","ALL","LTU","2002","0.12"
"HFAMDB_137","0_14","ALL","LTU","2004","0.3"
"HFAMDB_137","0_14","MALE","LTU","2011","0"
"HFAMDB_137","0_14","MALE","LTU","2012","0.47"
"HFAMDB_137","0_14","ALL","LTU","2011","0"
"HFAMDB_137","0_14","MALE","LTU","2004","0.59"
"HFAMDB_137","0_14","MALE","LTU","2010","0.36"
"HFAMDB_137","0_14","MALE","LTU","2003","0.32"
"HFAMDB_137","0_14","ALL","LTU","2012","0.24"
"HFAMDB_137","0_14","MALE","LUX","2012","0"
"HFAMDB_137","0_14","ALL","LUX","2012","0"
"HFAMDB_137","0_14","FEMALE","LUX","2012","0"
"HFAMDB_137","0_14","FEMALE","LVA","2004","0.68"
"HFAMDB_137","0_14","MALE","LVA","2008","0.65"
"HFAMDB_137","0_14","ALL","LVA","2003","0.82"
"HFAMDB_137","0_14","MALE","LVA","2005","0.71"
"HFAMDB_137","0_14","FEMALE","LVA","2003","0.64"
"HFAMDB_137","0_14","ALL","LVA","2000","0.34"
"HFAMDB_137","0_14","MALE","LVA","2003","0.99"
"HFAMDB_137","0_14","MALE","LVA","2000","0.67"
"HFAMDB_137","0_14","ALL","LVA","2005","0.36"
"HFAMDB_137","0_14","ALL","LVA","2004","0.33"
"HFAMDB_137","0_14","ALL","LVA","2009","0.67"
"HFAMDB_137","0_14","ALL","LVA","2008","0.33"
"HFAMDB_137","0_14","MALE","LVA","2009","1.31"
"HFAMDB_137","0_14","MALE","MNE","2003","1.69"
"HFAMDB_137","0_14","MALE","MNE","2008","1.71"
"HFAMDB_137","0_14","FEMALE","MNE","2003","1.52"
"HFAMDB_137","0_14","FEMALE","MNE","2007","3.51"
"HFAMDB_137","0_14","ALL","MNE","2004","3.4"
"HFAMDB_137","0_14","MALE","MNE","2007","1.79"
"HFAMDB_137","0_14","MALE","MNE","2000","1.71"
"HFAMDB_137","0_14","MALE","MNE","2002","0"
"HFAMDB_137","0_14","ALL","MNE","2002","2.52"
"HFAMDB_137","0_14","ALL","MNE","2005","2.81"
"HFAMDB_137","0_14","ALL","MNE","2001","0.9"
"HFAMDB_137","0_14","ALL","MNE","2008","0.9"
"HFAMDB_137","0_14","FEMALE","MNE","2004","1.86"
"HFAMDB_137","0_14","MALE","MNE","2005","5.41"
"HFAMDB_137","0_14","FEMALE","MNE","2006","2.06"
"HFAMDB_137","0_14","MALE","MNE","2001","0"
"HFAMDB_137","0_14","ALL","MNE","2003","1.62"
"HFAMDB_137","0_14","ALL","MNE","2007","2.62"
"HFAMDB_137","0_14","MALE","MNE","2004","4.82"
"HFAMDB_137","0_14","ALL","MNE","2000","3.37"
"HFAMDB_137","0_14","FEMALE","MNE","2000","5.16"
"HFAMDB_137","0_14","FEMALE","MNE","2002","5.27"
"HFAMDB_137","0_14","FEMALE","MNE","2001","1.86"
"HFAMDB_137","0_14","ALL","MNE","2006","0.98"
"HFAMDB_137","0_14","MALE","NLD","2012","0.14"
"HFAMDB_137","0_14","FEMALE","NLD","2012","0.14"
"HFAMDB_137","0_14","ALL","NLD","2012","0.14"
"HFAMDB_137","0_14","MALE","POL","2012","0.23"
"HFAMDB_137","0_14","FEMALE","POL","2012","0.07"
"HFAMDB_137","0_14","ALL","POL","2012","0.15"
"HFAMDB_137","0_14","FEMALE","PRT","1989","0.67"
"HFAMDB_137","0_14","MALE","PRT","1991","0.99"
"HFAMDB_137","0_14","FEMALE","PRT","2011","0.23"
"HFAMDB_137","0_14","FEMALE","PRT","2012","0.15"
"HFAMDB_137","0_14","FEMALE","PRT","2000","0.38"
"HFAMDB_137","0_14","ALL","PRT","1998","1.62"
"HFAMDB_137","0_14","ALL","PRT","1986","0.89"
"HFAMDB_137","0_14","ALL","PRT","1990","0.78"
"HFAMDB_137","0_14","MALE","PRT","1990","0.9"
"HFAMDB_137","0_14","MALE","PRT","1987","0.81"
"HFAMDB_137","0_14","MALE","PRT","2000","0.68"
"HFAMDB_137","0_14","MALE","PRT","1986","0.99"
"HFAMDB_137","0_14","MALE","PRT","1995","1.09"
"HFAMDB_137","0_14","MALE","PRT","1992","1.01"
"HFAMDB_137","0_14","ALL","PRT","1992","0.8"
"HFAMDB_137","0_14","MALE","PRT","2002","0.23"
"HFAMDB_137","0_14","FEMALE","PRT","1992","0.59"
"HFAMDB_137","0_14","ALL","PRT","2008","0.19"
"HFAMDB_137","0_14","ALL","PRT","1995","0.86"
"HFAMDB_137","0_14","ALL","PRT","1993","0.8"
"HFAMDB_137","0_14","ALL","PRT","2000","0.53"
"HFAMDB_137","0_14","MALE","PRT","1998","0.83"
"HFAMDB_137","0_14","MALE","PRT","2003","0.6"
"HFAMDB_137","0_14","FEMALE","PRT","1999","0.24"
"HFAMDB_137","0_14","FEMALE","PRT","1995","0.62"
"HFAMDB_137","0_14","FEMALE","PRT","1994","0.63"
"HFAMDB_137","0_14","MALE","PRT","1997","0.76"
"HFAMDB_137","0_14","MALE","PRT","2007","0.13"
"HFAMDB_137","0_14","MALE","PRT","2009","0.11"
"HFAMDB_137","0_14","MALE","PRT","1999","0.43"
"HFAMDB_137","0_14","MALE","PRT","2012","0.26"
"HFAMDB_137","0_14","MALE","PRT","1996","0.65"
"HFAMDB_137","0_14","FEMALE","PRT","2008","0.24"
"HFAMDB_137","0_14","FEMALE","PRT","1986","0.78"
"HFAMDB_137","0_14","FEMALE","PRT","2001","0.13"
"HFAMDB_137","0_14","FEMALE","PRT","2003","0.49"
"HFAMDB_137","0_14","ALL","PRT","1997","0.91"
"HFAMDB_137","0_14","ALL","PRT","1988","1.27"
"HFAMDB_137","0_14","ALL","PRT","1996","0.83"
"HFAMDB_137","0_14","ALL","PRT","1999","0.34"
"HFAMDB_137","0_14","ALL","PRT","2002","0.35"
"HFAMDB_137","0_14","ALL","PRT","2011","0.11"
"HFAMDB_137","0_14","ALL","PRT","1991","0.77"
"HFAMDB_137","0_14","FEMALE","PRT","2007","0.12"
"HFAMDB_137","0_14","ALL","PRT","2001","0.42"
"HFAMDB_137","0_14","MALE","PRT","2001","0.7"
"HFAMDB_137","0_14","FEMALE","PRT","1997","1.08"
"HFAMDB_137","0_14","MALE","PRT","1993","1.31"
"HFAMDB_137","0_14","MALE","PRT","1994","0.62"
"HFAMDB_137","0_14","MALE","PRT","1988","1.25"
"HFAMDB_137","0_14","FEMALE","PRT","1985","0.88"
"HFAMDB_137","0_14","FEMALE","PRT","1987","0.65"
"HFAMDB_137","0_14","FEMALE","PRT","1988","1.29"
"HFAMDB_137","0_14","FEMALE","PRT","1996","1.02"
"HFAMDB_137","0_14","FEMALE","PRT","1998","2.46"
"HFAMDB_137","0_14","ALL","PRT","1994","0.63"
"HFAMDB_137","0_14","ALL","PRT","2012","0.21"
"HFAMDB_137","0_14","ALL","PRT","1987","0.73"
"HFAMDB_137","0_14","ALL","PRT","1989","0.62"
"HFAMDB_137","0_14","ALL","PRT","2009","0.06"
"HFAMDB_137","0_14","MALE","PRT","2008","0.14"
"HFAMDB_137","0_14","MALE","PRT","1989","0.58"
"HFAMDB_137","0_14","FEMALE","PRT","2002","0.47"
"HFAMDB_137","0_14","ALL","PRT","1985","1.37"
"HFAMDB_137","0_14","ALL","PRT","2007","0.12"
"HFAMDB_137","0_14","ALL","PRT","2003","0.55"
"HFAMDB_137","0_14","FEMALE","PRT","1991","0.54"
"HFAMDB_137","0_14","FEMALE","PRT","1990","0.66"
"HFAMDB_137","0_14","MALE","PRT","1985","1.83"
"HFAMDB_137","0_14","FEMALE","PRT","1993","0.26"
"HFAMDB_137","0_14","FEMALE","ROU","2011","0.27"
"HFAMDB_137","0_14","ALL","ROU","2011","0.33"
"HFAMDB_137","0_14","MALE","ROU","2011","0.38"
"HFAMDB_137","0_14","MALE","RUS","2011","0.25"
"HFAMDB_137","0_14","FEMALE","RUS","2011","0.3"
"HFAMDB_137","0_14","ALL","RUS","2011","0.28"
"HFAMDB_137","0_14","MALE","ESP","2012","0.17"
"HFAMDB_137","0_14","FEMALE","ESP","2012","0.18"
"HFAMDB_137","0_14","ALL","ESP","2012","0.18"
"HFAMDB_137","0_14","FEMALE","SWE","2011","0"
"HFAMDB_137","0_14","ALL","SWE","2011","0.07"
"HFAMDB_137","0_14","MALE","SWE","2012","0.25"
"HFAMDB_137","0_14","ALL","SWE","2012","0.26"
"HFAMDB_137","0_14","FEMALE","SWE","2012","0.27"
"HFAMDB_137","0_14","MALE","SWE","2011","0.13"
"HFAMDB_137","0_14","FEMALE","TUR","2010","0.72"
"HFAMDB_137","0_14","FEMALE","TUR","2011","0.74"
"HFAMDB_137","0_14","ALL","TUR","2010","0.8"
"HFAMDB_137","0_14","MALE","TUR","2011","0.94"
"HFAMDB_137","0_14","FEMALE","TUR","2009","1.12"
"HFAMDB_137","0_14","ALL","TUR","2011","0.84"
"HFAMDB_137","0_14","MALE","TUR","2009","0.89"
"HFAMDB_137","0_14","ALL","TUR","2012","0.51"
"HFAMDB_137","0_14","FEMALE","TUR","2012","0.51"
"HFAMDB_137","0_14","MALE","TUR","2010","0.88"
"HFAMDB_137","0_14","MALE","TUR","2012","0.52"
"HFAMDB_137","0_14","ALL","TUR","2009","1"
"HFAMDB_137","0_14","FEMALE","AUT","2013","0.16"
"HFAMDB_137","0_14","MALE","AUT","2013","0.15"
"HFAMDB_137","0_14","ALL","AUT","2013","0.15"
"HFAMDB_137","0_14","MALE","BEL","2001","0.5"
"HFAMDB_137","0_14","ALL","BEL","2001","0.32"
"HFAMDB_137","0_14","FEMALE","BEL","2012","0"
"HFAMDB_137","0_14","MALE","BEL","2012","0"
"HFAMDB_137","0_14","ALL","BEL","2002","0.5"
"HFAMDB_137","0_14","FEMALE","BEL","2002","0.89"
"HFAMDB_137","0_14","FEMALE","BEL","2001","0.13"
"HFAMDB_137","0_14","ALL","BEL","2012","0"
"HFAMDB_137","0_14","MALE","HRV","2013","0"
"HFAMDB_137","0_14","FEMALE","HRV","2013","0"
"HFAMDB_137","0_14","ALL","HRV","2013","0"
"HFAMDB_137","0_14","MALE","CZE","2013","0.13"
"HFAMDB_137","0_14","ALL","CZE","2013","0.13"
"HFAMDB_137","0_14","FEMALE","CZE","2013","0.12"
"HFAMDB_137","0_14","MALE","DEU","2013","0.19"
"HFAMDB_137","0_14","ALL","DEU","2013","0.2"
"HFAMDB_137","0_14","FEMALE","DEU","2013","0.21"
"HFAMDB_137","0_14","ALL","HUN","2013","0.48"
"HFAMDB_137","0_14","MALE","HUN","2013","0.67"
"HFAMDB_137","0_14","FEMALE","HUN","2013","0.27"
"HFAMDB_137","0_14","MALE","MDA","2013","0.37"
"HFAMDB_137","0_14","FEMALE","MDA","2013","0.74"
"HFAMDB_137","0_14","ALL","MDA","2013","0.55"
"HFAMDB_137","0_14","MALE","SRB","2013","0"
"HFAMDB_137","0_14","FEMALE","SRB","2013","0"
"HFAMDB_137","0_14","ALL","SRB","2013","0"
"HFAMDB_137","0_14","FEMALE","TUR","2013","0.23"
"HFAMDB_137","0_14","MALE","TUR","2013","0.3"
"HFAMDB_137","0_14","ALL","TUR","2013","0.26"
"HFAMDB_137","0_14","FEMALE","ARM","1987","0"
"HFAMDB_137","0_14","FEMALE","ARM","1995","0"
"HFAMDB_137","0_14","FEMALE","ARM","1996","0"
"HFAMDB_137","0_14","FEMALE","ARM","1997","0"
"HFAMDB_137","0_14","FEMALE","ARM","1998","0"
"HFAMDB_137","0_14","FEMALE","ARM","2001","0"
"HFAMDB_137","0_14","FEMALE","ARM","2002","0"
"HFAMDB_137","0_14","FEMALE","ARM","2003","0"
"HFAMDB_137","0_14","FEMALE","ARM","2006","0"
"HFAMDB_137","0_14","MALE","ARM","1985","0"
"HFAMDB_137","0_14","MALE","ARM","1986","0"
"HFAMDB_137","0_14","MALE","ARM","1988","0"
"HFAMDB_137","0_14","MALE","ARM","1995","0"
"HFAMDB_137","0_14","MALE","ARM","1996","0"
"HFAMDB_137","0_14","MALE","ARM","1997","0"
"HFAMDB_137","0_14","MALE","ARM","1998","0"
"HFAMDB_137","0_14","MALE","ARM","1999","0"
"HFAMDB_137","0_14","MALE","ARM","2002","0"
"HFAMDB_137","0_14","MALE","ARM","2009","0"
"HFAMDB_137","0_14","ALL","ARM","1995","0"
"HFAMDB_137","0_14","ALL","ARM","1996","0"
"HFAMDB_137","0_14","ALL","ARM","1997","0"
"HFAMDB_137","0_14","ALL","ARM","1998","0"
"HFAMDB_137","0_14","ALL","ARM","2002","0"
"HFAMDB_137","0_14","ALL","AUT","2002","0"
"HFAMDB_137","0_14","ALL","AUT","2003","0"
"HFAMDB_137","0_14","ALL","AUT","2010","0"
"HFAMDB_137","0_14","ALL","AUT","2011","0"
"HFAMDB_137","0_14","MALE","AUT","1991","0"
"HFAMDB_137","0_14","MALE","AUT","2002","0"
"HFAMDB_137","0_14","MALE","AUT","2003","0"
"HFAMDB_137","0_14","MALE","AUT","2008","0"
"HFAMDB_137","0_14","MALE","AUT","2010","0"
"HFAMDB_137","0_14","MALE","AUT","2011","0"
"HFAMDB_137","0_14","FEMALE","AUT","2000","0"
"HFAMDB_137","0_14","FEMALE","AUT","2002","0"
"HFAMDB_137","0_14","FEMALE","AUT","2003","0"
"HFAMDB_137","0_14","FEMALE","AUT","2006","0"
"HFAMDB_137","0_14","FEMALE","AUT","2010","0"
"HFAMDB_137","0_14","FEMALE","AUT","2011","0"
"HFAMDB_137","0_14","FEMALE","AZE","1981","0"
"HFAMDB_137","0_14","FEMALE","AZE","1982","0"
"HFAMDB_137","0_14","FEMALE","AZE","1985","0"
"HFAMDB_137","0_14","FEMALE","AZE","1986","0"
"HFAMDB_137","0_14","FEMALE","AZE","1998","0"
"HFAMDB_137","0_14","FEMALE","AZE","1999","0"
"HFAMDB_137","0_14","FEMALE","AZE","2001","0"
"HFAMDB_137","0_14","FEMALE","AZE","2002","0"
"HFAMDB_137","0_14","FEMALE","AZE","2003","0"
"HFAMDB_137","0_14","FEMALE","AZE","2004","0"
"HFAMDB_137","0_14","MALE","AZE","1981","0"
"HFAMDB_137","0_14","MALE","AZE","1982","0"
"HFAMDB_137","0_14","MALE","AZE","1985","0"
"HFAMDB_137","0_14","MALE","AZE","1986","0"
"HFAMDB_137","0_14","MALE","AZE","1999","0"
"HFAMDB_137","0_14","MALE","AZE","2001","0"
"HFAMDB_137","0_14","MALE","AZE","2002","0"
"HFAMDB_137","0_14","MALE","AZE","2003","0"
"HFAMDB_137","0_14","MALE","AZE","2004","0"
"HFAMDB_137","0_14","ALL","AZE","1981","0"
"HFAMDB_137","0_14","ALL","AZE","1982","0"
"HFAMDB_137","0_14","ALL","AZE","1985","0"
"HFAMDB_137","0_14","ALL","AZE","1986","0"
"HFAMDB_137","0_14","ALL","AZE","1999","0"
"HFAMDB_137","0_14","ALL","AZE","2001","0"
"HFAMDB_137","0_14","ALL","AZE","2002","0"
"HFAMDB_137","0_14","ALL","AZE","2003","0"
"HFAMDB_137","0_14","ALL","AZE","2004","0"
"HFAMDB_137","0_14","MALE","BEL","1998","0"
"HFAMDB_137","0_14","MALE","BEL","1999","0"
"HFAMDB_137","0_14","MALE","BEL","2008","0"
"HFAMDB_137","0_14","MALE","BEL","2010","0"
"HFAMDB_137","0_14","ALL","BLR","1996","0.36479731"
"HFAMDB_137","0_14","ALL","BLR","2004","0.04958466"
"HFAMDB_137","0_14","ALL","BLR","2005","0.2944702"
"HFAMDB_137","0_14","ALL","BLR","2007","0"
"HFAMDB_137","0_14","MALE","BLR","1985","0"
"HFAMDB_137","0_14","MALE","BLR","1993","0"
"HFAMDB_137","0_14","MALE","BLR","1996","0.3648638"
"HFAMDB_137","0_14","MALE","BLR","1998","0"
"HFAMDB_137","0_14","MALE","BLR","2002","0"
"HFAMDB_137","0_14","MALE","BLR","2004","0"
"HFAMDB_137","0_14","MALE","BLR","2005","0.47040801"
"HFAMDB_137","0_14","MALE","BLR","2007","0"
"HFAMDB_137","0_14","FEMALE","BLR","1996","0.36418664"
"HFAMDB_137","0_14","FEMALE","BLR","2001","0"
"HFAMDB_137","0_14","FEMALE","BLR","2003","0"
"HFAMDB_137","0_14","FEMALE","BLR","2004","0.10174493"
"HFAMDB_137","0_14","FEMALE","BLR","2005","0.10929351"
"HFAMDB_137","0_14","FEMALE","BLR","2007","0"
"HFAMDB_137","0_14","ALL","HRV","2001","0"
"HFAMDB_137","0_14","ALL","HRV","2002","0"
"HFAMDB_137","0_14","ALL","HRV","2003","0"
"HFAMDB_137","0_14","ALL","HRV","2005","0"
"HFAMDB_137","0_14","ALL","HRV","2009","0"
"HFAMDB_137","0_14","ALL","HRV","2012","0"
"HFAMDB_137","0_14","MALE","HRV","1991","0"
"HFAMDB_137","0_14","MALE","HRV","2001","0"
"HFAMDB_137","0_14","MALE","HRV","2002","0"
"HFAMDB_137","0_14","MALE","HRV","2003","0"
"HFAMDB_137","0_14","MALE","HRV","2004","0"
"HFAMDB_137","0_14","MALE","HRV","2005","0"
"HFAMDB_137","0_14","MALE","HRV","2006","0"
"HFAMDB_137","0_14","MALE","HRV","2009","0"
"HFAMDB_137","0_14","MALE","HRV","2010","0"
"HFAMDB_137","0_14","MALE","HRV","2011","0"
"HFAMDB_137","0_14","MALE","HRV","2012","0"
"HFAMDB_137","0_14","FEMALE","HRV","1999","0"
"HFAMDB_137","0_14","FEMALE","HRV","2000","0"
"HFAMDB_137","0_14","FEMALE","HRV","2001","0"
"HFAMDB_137","0_14","FEMALE","HRV","2002","0"
"HFAMDB_137","0_14","FEMALE","HRV","2003","0"
"HFAMDB_137","0_14","FEMALE","HRV","2005","0"
"HFAMDB_137","0_14","FEMALE","HRV","2007","0"
"HFAMDB_137","0_14","FEMALE","HRV","2009","0"
"HFAMDB_137","0_14","FEMALE","HRV","2012","0"
"HFAMDB_137","0_14","FEMALE","CYP","2004","0"
"HFAMDB_137","0_14","FEMALE","CYP","2005","0"
"HFAMDB_137","0_14","FEMALE","CYP","2006","0"
"HFAMDB_137","0_14","FEMALE","CYP","2009","0"
"HFAMDB_137","0_14","FEMALE","CYP","2010","0"
"HFAMDB_137","0_14","FEMALE","CYP","2011","0"
"HFAMDB_137","0_14","MALE","CYP","2004","0"
"HFAMDB_137","0_14","MALE","CYP","2005","0"
"HFAMDB_137","0_14","MALE","CYP","2006","0"
"HFAMDB_137","0_14","MALE","CYP","2008","0"
"HFAMDB_137","0_14","MALE","CYP","2009","0"
"HFAMDB_137","0_14","MALE","CYP","2010","0"
"HFAMDB_137","0_14","MALE","CYP","2011","0"
"HFAMDB_137","0_14","ALL","CYP","2004","0"
"HFAMDB_137","0_14","ALL","CYP","2005","0"
"HFAMDB_137","0_14","ALL","CYP","2006","0"
"HFAMDB_137","0_14","ALL","CYP","2009","0"
"HFAMDB_137","0_14","ALL","CYP","2010","0"
"HFAMDB_137","0_14","ALL","CYP","2011","0"
"HFAMDB_137","0_14","ALL","CZE","2008","0"
"HFAMDB_137","0_14","ALL","CZE","2009","0"
"HFAMDB_137","0_14","ALL","CZE","2010","0"
"HFAMDB_137","0_14","MALE","CZE","1991","0"
"HFAMDB_137","0_14","MALE","CZE","2008","0"
"HFAMDB_137","0_14","MALE","CZE","2009","0"
"HFAMDB_137","0_14","MALE","CZE","2010","0"
"HFAMDB_137","0_14","MALE","CZE","2012","0"
"HFAMDB_137","0_14","FEMALE","CZE","2005","0"
"HFAMDB_137","0_14","FEMALE","CZE","2007","0"
"HFAMDB_137","0_14","FEMALE","CZE","2008","0"
"HFAMDB_137","0_14","FEMALE","CZE","2009","0"
"HFAMDB_137","0_14","FEMALE","CZE","2010","0"
"HFAMDB_137","0_14","FEMALE","CZE","2011","0"
"HFAMDB_137","0_14","FEMALE","DNK","1997","0"
"HFAMDB_137","0_14","FEMALE","DNK","1998","0"
"HFAMDB_137","0_14","FEMALE","DNK","2000","0"
"HFAMDB_137","0_14","FEMALE","DNK","2001","0"
