"Measure code","AGE_GRP","SEX","COUNTRY_REGION","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"HFAMDB_828","60_74","ALL","ALB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.26","4.28","2.63","","","1.9","1.89","3.11","3.01","0","0","0.42","1.24","0.89","0","0","0.35","0","0","0","0","0","0","","","","","","",""
"HFAMDB_828","60_74","ALL","ARM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.261561","0.28072539","0","0","0.40569926","0.61250603","0","0.28771348","0.88673236","0","0.23629043","0.23917037","","","0.54","","0.6","1.01","","","3.03","3.5","3.89","9.21","6.63"
"HFAMDB_828","60_74","ALL","AUT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.47","0.07","0.15","0.15","0.51","0.23","0.08","0.1","0","0.42","0.63","0.1","0.37","0.64","0.5","0.34","0.35","0.81","1.28","2.54","1.41","1.24","6.25","7.86","6.8","7.94","4.79","4.37","5.15","5.6","4.58","3.93","4.6","4.1","4.45","4.35","2.86"
"HFAMDB_828","60_74","ALL","AZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.74847534","0.84707682","0.88042683","0.64399937","0.96266485","0.3364801","0.92490585","0.31880261","0.83599271","0.7970956","0.63","0.63","2.8","5.65","","","0","","","","","","","","",""
"HFAMDB_828","60_74","ALL","BLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45829762","0.29988451","0.07226269","0.26973842","0.06335787","0.25692087","0.06353708","0.15345454","0.06852802","0.20272005","0.21992951","0.75","0.6","0.30570868","0.47471883","","0.66","0.28","0.18","0.15","0.16","","0.07","0.23","",""
"HFAMDB_828","60_74","ALL","BEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.44","0.68","0.37","0.71","0.47","1.12","0.61","0.76","0.37","1.17","0.88","1.07","1.37","2.13","3.01","2.34","3.16","2.67","2.48","4.61","3.62","4.5","3.29","3.18","2.53","3.15","2.63","2.64","1.62","1.94","1.74","1.8","1.52","1.86","1.16","0.95","0.98",""
"HFAMDB_828","60_74","ALL","BIH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98","0.63","0","0.32","0.94","0.89","0.44","","","","","","","","","","","","","","","","","","","","2.01","","","2.84","",""
"HFAMDB_828","60_74","ALL","BGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.32","2.13","1.04","0.78","1","1.24","1.9","0.77","0.97","1.4","0.81","0.78","0.91","0.38","0.72","0.75","1.05","0.72","1.16","0.82","0.95","1.89","0.95","0.9","1.06","1.5","0.8","0.81","1.05","1.1","1.27","0.39","0.08","0.23","0.98","",""
"HFAMDB_828","60_74","ALL","HRV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","0.17","0","0","0.25","0","0.3","0.15","0","0","0.29","0.67","0.3","0.31","0.3","0.9","1.03","0.96","1.16","1.83","1.63","2.02","2.39","1.98","1.63","2.69","1.48","1.53","2.07","1.88","2.65","3.3"
"HFAMDB_828","60_74","ALL","CYP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.25","2.18","1.04","1.07","0","1.85","0","1.83","1.81","1.73","0.89","0.77","2.42"
"HFAMDB_828","60_74","ALL","CZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.13","1.41","1.27","1.13","1.14","0.9","0.98","0.73","1.02","0.46","0.52","0.31","0.31","0.61","0.09","0.57","0.2","0.68","0.51","0.35","0.36","0.53","0.89","0.47","0.74","3.6","3.91","0.27","0.97","0.65","0.51"
"HFAMDB_828","60_74","ALL","DNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","0.44","0.29","0.49","0.62","0.45","0.44","0.15","0.29","0.55","0.96","0.14","0.49","0.35","0.7","0.68","0.11","0.43","0.51","1.29","1.15","0.18",""
"HFAMDB_828","60_74","ALL","EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64726595","0.94400894","0","0","0.51","0","0","0","0","0.51","0.5","0.48","0","1.4","0","0","1.31","0.45","0","1.46","0","0.38","0.56","1.01","1.87","0.91",""
"HFAMDB_828","60_74","ALL","FIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.17","0","0.16","0","0.31","0.28","0","0.13","0.73","0.12","0","0.12","0.27","0.6","0.3","0","0","0.29","0","0.25","0.36","0.24","0.12","0.32","0.21","0.22","0.44","",""
"HFAMDB_828","60_74","ALL","FRA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27","1.51","1.25","1.18","1.28","1.24","1.11","1.15","0.9","0.71","0.76","0.91","0.98","0.75","1.41","1.58","1.79","1.37","1.21","0.87","0.78","3.97","3.78","3.51","2.84","2.58","2.76","2.3","2.08","2.32","1.38","1.71","1.6","1.81","1.47","1.27","",""
"HFAMDB_828","60_74","ALL","GEO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.18421295","0.17849174","","0.18340211","0.33531238","0","0.31568933","0","0","0.17","0.16","","","0.22","0.26","0.29","0.73","","1.08","0.19","2.94","5.63","7.78","10.33","12.56",""
"HFAMDB_828","60_74","ALL","DEU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76","0.98","0.99","0.97","1.01","0.98","1.41","1.24","2.92","3.41","3.44","3.15","3.12","3.04","2.64","2.18","2.09","1.84","1.83","1.73","1.69","1.88","1.86","1.69","1.7","1.87",""
