"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_813","15_29","MALE","BEL","2002","0"
"HFAMDB_813","15_29","MALE","AUT","2012","0"
"HFAMDB_813","15_29","FEMALE","AUT","2012","0"
"HFAMDB_813","15_29","ALL","AUT","2012","0"
"HFAMDB_813","15_29","FEMALE","BEL","2011","0.11"
"HFAMDB_813","15_29","ALL","BEL","2011","0.05"
"HFAMDB_813","15_29","MALE","BEL","2011","0"
"HFAMDB_813","15_29","MALE","BEL","2000","0.2"
"HFAMDB_813","15_29","ALL","BEL","2000","0.1"
"HFAMDB_813","15_29","FEMALE","BEL","2000","0"
"HFAMDB_813","15_29","FEMALE","BLR","2011","0"
"HFAMDB_813","15_29","ALL","BLR","2011","0.04"
"HFAMDB_813","15_29","MALE","BLR","2011","0.09"
"HFAMDB_813","15_29","MALE","CYP","1999","0"
"HFAMDB_813","15_29","ALL","CYP","1999","0"
"HFAMDB_813","15_29","FEMALE","CYP","1999","0"
"HFAMDB_813","15_29","ALL","CYP","2012","0"
"HFAMDB_813","15_29","MALE","CYP","2012","0"
"HFAMDB_813","15_29","FEMALE","CYP","2012","0"
"HFAMDB_813","15_29","ALL","DNK","2012","0"
"HFAMDB_813","15_29","FEMALE","DNK","2012","0"
"HFAMDB_813","15_29","MALE","DNK","2012","0"
"HFAMDB_813","15_29","ALL","FIN","2012","0"
"HFAMDB_813","15_29","FEMALE","FIN","2012","0"
"HFAMDB_813","15_29","MALE","FIN","2012","0"
"HFAMDB_813","15_29","ALL","FRA","2011","0.04"
"HFAMDB_813","15_29","FEMALE","FRA","2011","0.05"
"HFAMDB_813","15_29","MALE","FRA","2011","0.03"
"HFAMDB_813","15_29","MALE","GEO","2012","0.18"
"HFAMDB_813","15_29","ALL","GEO","2011","0"
"HFAMDB_813","15_29","FEMALE","GEO","2012","0"
"HFAMDB_813","15_29","FEMALE","GEO","2011","0"
"HFAMDB_813","15_29","ALL","GEO","2012","0.09"
"HFAMDB_813","15_29","MALE","GEO","2011","0"
"HFAMDB_813","15_29","FEMALE","GRC","2012","0"
"HFAMDB_813","15_29","ALL","GRC","2012","0.1"
"HFAMDB_813","15_29","MALE","GRC","2012","0.19"
"HFAMDB_813","15_29","FEMALE","ISR","2012","0"
"HFAMDB_813","15_29","MALE","ISR","2012","0"
"HFAMDB_813","15_29","ALL","ISR","2012","0"
"HFAMDB_813","15_29","MALE","ITA","2011","0"
"HFAMDB_813","15_29","FEMALE","ITA","2011","0"
"HFAMDB_813","15_29","ALL","ITA","2011","0"
"HFAMDB_813","15_29","FEMALE","KAZ","2012","0.22"
"HFAMDB_813","15_29","ALL","KAZ","2012","0.33"
"HFAMDB_813","15_29","MALE","KAZ","2012","0.44"
"HFAMDB_813","15_29","FEMALE","KGZ","2012","0.25"
"HFAMDB_813","15_29","ALL","KGZ","2012","0.36"
"HFAMDB_813","15_29","MALE","KGZ","2012","0.48"
"HFAMDB_813","15_29","MALE","KGZ","2011","0.66"
"HFAMDB_813","15_29","ALL","KGZ","2011","0.39"
"HFAMDB_813","15_29","FEMALE","KGZ","2011","0.11"
"HFAMDB_813","15_29","MALE","LTU","2005","0.59"
"HFAMDB_813","15_29","MALE","LTU","2012","0.68"
"HFAMDB_813","15_29","MALE","LTU","2002","0.58"
"HFAMDB_813","15_29","ALL","LTU","2009","0.14"
"HFAMDB_813","15_29","ALL","LTU","2003","0.3"
"HFAMDB_813","15_29","MALE","LTU","2011","0.34"
"HFAMDB_813","15_29","FEMALE","LTU","2002","0.29"
"HFAMDB_813","15_29","MALE","LTU","2003","0.6"
"HFAMDB_813","15_29","FEMALE","LTU","2005","0.31"
"HFAMDB_813","15_29","FEMALE","LTU","2011","0"
"HFAMDB_813","15_29","ALL","LTU","2004","0.15"
"HFAMDB_813","15_29","ALL","LTU","2008","0.16"
"HFAMDB_813","15_29","FEMALE","LTU","2012","0"
"HFAMDB_813","15_29","ALL","LTU","2011","0.17"
"HFAMDB_813","15_29","MALE","LTU","2004","0.3"
"HFAMDB_813","15_29","ALL","LTU","2005","0.45"
"HFAMDB_813","15_29","MALE","LTU","2009","0.28"
"HFAMDB_813","15_29","ALL","LTU","2002","0.44"
"HFAMDB_813","15_29","MALE","LTU","2008","0.32"
"HFAMDB_813","15_29","ALL","LTU","2012","0.34"
"HFAMDB_813","15_29","MALE","LUX","2012","0"
"HFAMDB_813","15_29","FEMALE","LUX","2012","0"
"HFAMDB_813","15_29","ALL","LUX","2012","0"
"HFAMDB_813","15_29","MALE","LVA","2008","0.43"
"HFAMDB_813","15_29","MALE","LVA","2003","0.42"
"HFAMDB_813","15_29","MALE","LVA","2000","0.4"
"HFAMDB_813","15_29","ALL","LVA","2003","0.21"
"HFAMDB_813","15_29","ALL","LVA","2008","0.22"
"HFAMDB_813","15_29","MALE","LVA","2004","0.43"
"HFAMDB_813","15_29","ALL","LVA","2004","0.22"
"HFAMDB_813","15_29","ALL","LVA","2000","0.2"
"HFAMDB_813","15_29","FEMALE","MNE","2001","0"
"HFAMDB_813","15_29","FEMALE","MNE","2003","0"
"HFAMDB_813","15_29","FEMALE","MNE","2004","0"
"HFAMDB_813","15_29","MALE","MNE","2001","0"
"HFAMDB_813","15_29","MALE","MNE","2004","0"
"HFAMDB_813","15_29","ALL","MNE","2002","0"
"HFAMDB_813","15_29","ALL","MNE","2003","0"
"HFAMDB_813","15_29","MALE","MNE","2002","0"
"HFAMDB_813","15_29","MALE","MNE","2003","0"
"HFAMDB_813","15_29","FEMALE","MNE","2002","0"
"HFAMDB_813","15_29","ALL","MNE","2004","0"
"HFAMDB_813","15_29","ALL","MNE","2001","0"
"HFAMDB_813","15_29","MALE","NLD","2012","0"
"HFAMDB_813","15_29","ALL","NLD","2012","0"
"HFAMDB_813","15_29","FEMALE","NLD","2012","0"
"HFAMDB_813","15_29","FEMALE","POL","2012","0.02"
"HFAMDB_813","15_29","MALE","POL","2012","0.17"
"HFAMDB_813","15_29","ALL","POL","2012","0.1"
"HFAMDB_813","15_29","FEMALE","PRT","1993","0.08"
"HFAMDB_813","15_29","MALE","PRT","1989","0.27"
"HFAMDB_813","15_29","MALE","PRT","1988","0.09"
"HFAMDB_813","15_29","FEMALE","PRT","1986","0.16"
"HFAMDB_813","15_29","ALL","PRT","2012","0"
"HFAMDB_813","15_29","ALL","PRT","1985","0.13"
"HFAMDB_813","15_29","ALL","PRT","1986","0.16"
"HFAMDB_813","15_29","MALE","PRT","1993","0.09"
"HFAMDB_813","15_29","FEMALE","PRT","1987","0.09"
"HFAMDB_813","15_29","ALL","PRT","2008","0.05"
"HFAMDB_813","15_29","ALL","PRT","1995","0.04"
"HFAMDB_813","15_29","MALE","PRT","1986","0.17"
"HFAMDB_813","15_29","MALE","PRT","1995","0.09"
"HFAMDB_813","15_29","MALE","PRT","1999","0.08"
"HFAMDB_813","15_29","MALE","PRT","1994","0.08"
"HFAMDB_813","15_29","FEMALE","PRT","2012","0"
"HFAMDB_813","15_29","MALE","PRT","2012","0"
"HFAMDB_813","15_29","ALL","PRT","1990","0.13"
"HFAMDB_813","15_29","ALL","PRT","1987","0.04"
"HFAMDB_813","15_29","ALL","PRT","1994","0.04"
"HFAMDB_813","15_29","FEMALE","PRT","1992","0.09"
"HFAMDB_813","15_29","MALE","PRT","1990","0.18"
"HFAMDB_813","15_29","MALE","PRT","2008","0.09"
"HFAMDB_813","15_29","MALE","PRT","1991","0.18"
"HFAMDB_813","15_29","FEMALE","PRT","1990","0.09"
"HFAMDB_813","15_29","FEMALE","PRT","1985","0.09"
"HFAMDB_813","15_29","ALL","PRT","1998","0.17"
"HFAMDB_813","15_29","FEMALE","PRT","1999","0.09"
"HFAMDB_813","15_29","ALL","PRT","1999","0.08"
"HFAMDB_813","15_29","MALE","PRT","1998","0.33"
"HFAMDB_813","15_29","ALL","PRT","1988","0.04"
"HFAMDB_813","15_29","FEMALE","PRT","2000","0.08"
