"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_828","60_74","ALL","ALB","1996","0"
"HFAMDB_828","60_74","ALL","ALB","1997","0"
"HFAMDB_828","60_74","ALL","ALB","2001","0"
"HFAMDB_828","60_74","ALL","ALB","2002","0"
"HFAMDB_828","60_74","ALL","BEL","2002","3.18"
"HFAMDB_828","60_74","MALE","AUT","2012","6.61"
"HFAMDB_828","60_74","FEMALE","AUT","2012","2.75"
"HFAMDB_828","60_74","ALL","AUT","2012","4.6"
"HFAMDB_828","60_74","ALL","BEL","2000","4.5"
"HFAMDB_828","60_74","FEMALE","BEL","2000","3.95"
"HFAMDB_828","60_74","MALE","BEL","2011","1.74"
"HFAMDB_828","60_74","ALL","BEL","2011","1.52"
"HFAMDB_828","60_74","FEMALE","BEL","2011","1.3"
"HFAMDB_828","60_74","MALE","BEL","2000","5.22"
"HFAMDB_828","60_74","FEMALE","BIH","2011","1.46"
"HFAMDB_828","60_74","ALL","BIH","2011","2.01"
"HFAMDB_828","60_74","MALE","BIH","2011","2.61"
"HFAMDB_828","60_74","ALL","BLR","2011","0.16"
"HFAMDB_828","60_74","MALE","BLR","2011","0"
"HFAMDB_828","60_74","FEMALE","BLR","2011","0.28"
"HFAMDB_828","60_74","ALL","CYP","2012","1.81"
"HFAMDB_828","60_74","FEMALE","CYP","2011","3.52"
"HFAMDB_828","60_74","ALL","CYP","2011","1.83"
"HFAMDB_828","60_74","MALE","CYP","2012","3.75"
"HFAMDB_828","60_74","FEMALE","FIN","2012","0"
"HFAMDB_828","60_74","ALL","FIN","2012","0.21"
"HFAMDB_828","60_74","MALE","FIN","2012","0.45"
"HFAMDB_828","60_74","MALE","FRA","2011","1.77"
"HFAMDB_828","60_74","FEMALE","FRA","2011","1.43"
"HFAMDB_828","60_74","ALL","FRA","2011","1.6"
"HFAMDB_828","60_74","ALL","GEO","2012","5.63"
"HFAMDB_828","60_74","FEMALE","GEO","2012","2.27"
"HFAMDB_828","60_74","MALE","GEO","2011","6.01"
"HFAMDB_828","60_74","MALE","GEO","2012","9.98"
"HFAMDB_828","60_74","FEMALE","GEO","2011","0.64"
"HFAMDB_828","60_74","ALL","GEO","2011","2.94"
"HFAMDB_828","60_74","ALL","GRC","2012","1.43"
"HFAMDB_828","60_74","MALE","GRC","2012","2.4"
"HFAMDB_828","60_74","FEMALE","GRC","2012","0.56"
"HFAMDB_828","60_74","FEMALE","ISR","2012","3.67"
"HFAMDB_828","60_74","ALL","ISR","2012","4.82"
"HFAMDB_828","60_74","MALE","ISR","2012","6.07"
"HFAMDB_828","60_74","ALL","ITA","2011","7.7"
"HFAMDB_828","60_74","FEMALE","ITA","2011","6.88"
"HFAMDB_828","60_74","MALE","ITA","2011","8.58"
"HFAMDB_828","60_74","MALE","KAZ","2012","0.96"
"HFAMDB_828","60_74","ALL","KAZ","2012","0.79"
"HFAMDB_828","60_74","FEMALE","KAZ","2012","0.66"
"HFAMDB_828","60_74","MALE","KGZ","2012","0.71"
"HFAMDB_828","60_74","MALE","KGZ","2011","4.57"
"HFAMDB_828","60_74","ALL","KGZ","2012","1.27"
"HFAMDB_828","60_74","FEMALE","KGZ","2011","0.59"
"HFAMDB_828","60_74","FEMALE","KGZ","2012","1.68"
"HFAMDB_828","60_74","ALL","KGZ","2011","2.29"
"HFAMDB_828","60_74","MALE","LTU","2001","0.5"
"HFAMDB_828","60_74","ALL","LTU","2006","0.37"
"HFAMDB_828","60_74","MALE","LTU","2003","0.96"
"HFAMDB_828","60_74","MALE","LTU","2006","0.97"
"HFAMDB_828","60_74","ALL","LTU","2003","1.32"
"HFAMDB_828","60_74","MALE","LTU","2011","3.41"
"HFAMDB_828","60_74","MALE","LTU","2008","1.29"
"HFAMDB_828","60_74","FEMALE","LTU","2012","0.82"
"HFAMDB_828","60_74","ALL","LTU","2010","1.29"
"HFAMDB_828","60_74","ALL","LTU","2001","0.74"
"HFAMDB_828","60_74","ALL","LTU","2007","0.74"
"HFAMDB_828","60_74","MALE","LTU","2005","0.47"
"HFAMDB_828","60_74","FEMALE","LTU","2008","0.27"
"HFAMDB_828","60_74","ALL","LTU","2009","0.99"
"HFAMDB_828","60_74","FEMALE","LTU","2009","1.16"
"HFAMDB_828","60_74","FEMALE","LTU","2010","0.71"
"HFAMDB_828","60_74","FEMALE","LTU","2007","0.54"
"HFAMDB_828","60_74","FEMALE","LTU","2005","0.75"
"HFAMDB_828","60_74","ALL","LTU","2008","0.72"
"HFAMDB_828","60_74","ALL","LTU","2004","0.73"
"HFAMDB_828","60_74","MALE","LTU","2004","0.96"
"HFAMDB_828","60_74","FEMALE","LTU","2003","1.58"
"HFAMDB_828","60_74","FEMALE","LTU","2002","1.13"
"HFAMDB_828","60_74","ALL","LTU","2002","1.13"
"HFAMDB_828","60_74","FEMALE","LTU","2001","0.87"
"HFAMDB_828","60_74","ALL","LTU","2005","0.61"
"HFAMDB_828","60_74","MALE","LTU","2010","2.17"
"HFAMDB_828","60_74","MALE","LTU","2012","1.19"
"HFAMDB_828","60_74","MALE","LTU","2009","0.63"
"HFAMDB_828","60_74","MALE","LTU","2002","1.03"
"HFAMDB_828","60_74","MALE","LTU","2007","1.02"
"HFAMDB_828","60_74","FEMALE","LTU","2004","0.59"
"HFAMDB_828","60_74","ALL","LTU","2011","2.02"
"HFAMDB_828","60_74","ALL","LTU","2012","1.01"
"HFAMDB_828","60_74","FEMALE","LTU","2011","1.12"
"HFAMDB_828","60_74","FEMALE","LUX","2012","0"
"HFAMDB_828","60_74","ALL","LUX","2012","0"
