"Measure code","AGE_GRP","SEX","COUNTRY_REGION","YEAR","VALUE"
"HFAMDB_467","60_74","ALL","AUT","2013","34.43"
"HFAMDB_467","60_74","FEMALE","KGZ","2013","29.5"
"HFAMDB_467","60_74","ALL","KGZ","2013","16.97"
"HFAMDB_467","60_74","MALE","KGZ","2013","0"
"HFAMDB_467","60_74","ALL","BEL","2011","47.15"
"HFAMDB_467","60_74","MALE","BEL","2000","1.05"
"HFAMDB_467","60_74","MALE","BEL","2011","1.57"
"HFAMDB_467","60_74","FEMALE","BEL","2000","101.07"
"HFAMDB_467","60_74","ALL","BEL","2000","54.55"
"HFAMDB_467","60_74","FEMALE","BEL","2011","88.79"
"HFAMDB_467","60_74","FEMALE","BIH","2011","50.68"
"HFAMDB_467","60_74","ALL","BIH","2011","28.76"
"HFAMDB_467","60_74","MALE","BIH","2011","2.62"
"HFAMDB_467","60_74","ALL","BLR","2011","37.88"
"HFAMDB_467","60_74","FEMALE","BLR","2011","61.15"
"HFAMDB_467","60_74","MALE","BLR","2011","0.95"
"HFAMDB_467","60_74","ALL","CYP","2012","40.43"
"HFAMDB_467","60_74","FEMALE","CYP","2012","76.74"
"HFAMDB_467","60_74","FEMALE","CYP","2011","70.23"
"HFAMDB_467","60_74","ALL","CYP","2011","36.17"
"HFAMDB_467","60_74","MALE","CYP","2012","1.8"
"HFAMDB_467","60_74","MALE","CYP","2011","0"
"HFAMDB_467","60_74","MALE","FIN","2012","0.45"
"HFAMDB_467","60_74","ALL","FIN","2012","34.03"
"HFAMDB_467","60_74","FEMALE","FIN","2012","64.6"
"HFAMDB_467","60_74","MALE","FRA","2011","0.63"
"HFAMDB_467","60_74","FEMALE","FRA","2011","70.71"
"HFAMDB_467","60_74","ALL","FRA","2011","37.62"
"HFAMDB_467","60_74","MALE","GEO","2011","1.67"
"HFAMDB_467","60_74","FEMALE","GEO","2011","46.67"
"HFAMDB_467","60_74","ALL","GEO","2011","27.75"
"HFAMDB_467","60_74","ALL","GEO","2012","29.21"
"HFAMDB_467","60_74","MALE","GEO","2012","0.61"
"HFAMDB_467","60_74","FEMALE","GEO","2012","50.02"
"HFAMDB_467","60_74","MALE","GRC","2012","1.49"
"HFAMDB_467","60_74","ALL","GRC","2012","30.61"
"HFAMDB_467","60_74","FEMALE","GRC","2012","56.42"
"HFAMDB_467","60_74","MALE","ISR","2012","1.16"
"HFAMDB_467","60_74","ALL","ISR","2012","41.71"
"HFAMDB_467","60_74","FEMALE","ISR","2012","77.07"
"HFAMDB_467","60_74","FEMALE","ITA","2011","65.77"
"HFAMDB_467","60_74","ALL","ITA","2011","35.13"
"HFAMDB_467","60_74","MALE","ITA","2011","0.83"
"HFAMDB_467","60_74","ALL","KAZ","2012","39.91"
"HFAMDB_467","60_74","FEMALE","KAZ","2012","66.21"
"HFAMDB_467","60_74","MALE","KAZ","2012","0"
"HFAMDB_467","60_74","MALE","KGZ","2011","0.77"
"HFAMDB_467","60_74","MALE","KGZ","2012","0"
"HFAMDB_467","60_74","ALL","KGZ","2011","28.99"
"HFAMDB_467","60_74","ALL","KGZ","2012","18.54"
"HFAMDB_467","60_74","FEMALE","KGZ","2011","50.45"
"HFAMDB_467","60_74","FEMALE","KGZ","2012","32.34"
"HFAMDB_467","60_74","ALL","LTU","2001","39.72"
"HFAMDB_467","60_74","MALE","LTU","2003","2.11"
"HFAMDB_467","60_74","MALE","LTU","2004","1.49"
"HFAMDB_467","60_74","MALE","LTU","2001","1.49"
"HFAMDB_467","60_74","FEMALE","LTU","2003","80.06"
"HFAMDB_467","60_74","FEMALE","LTU","2001","64.66"
"HFAMDB_467","60_74","FEMALE","LTU","2002","74.23"
"HFAMDB_467","60_74","ALL","LTU","2003","49.21"
"HFAMDB_467","60_74","ALL","LTU","2004","46.14"
"HFAMDB_467","60_74","ALL","LTU","2005","47.39"
"HFAMDB_467","60_74","ALL","LTU","2002","45.08"
"HFAMDB_467","60_74","MALE","LTU","2002","1"
"HFAMDB_467","60_74","FEMALE","LTU","2005","77.48"
"HFAMDB_467","60_74","MALE","LTU","2005","1.07"
"HFAMDB_467","60_74","FEMALE","LTU","2004","75.69"
"HFAMDB_467","60_74","MALE","LVA","2009","3.19"
"HFAMDB_467","60_74","FEMALE","LVA","2006","78.51"
"HFAMDB_467","60_74","FEMALE","LVA","2004","71.87"
"HFAMDB_467","60_74","FEMALE","LVA","2010","81.05"
